year,month,jenis,kode_trayek,trayek,jumlah_penumpang,halte_awal,halte_tujuan,latitude_awal,longitude_awal,latitude_tujuan,longitude_tujuan
2021,3,Mikrotrans,JAK.10B,Gondangdia - Cikini via Kramat Raya,2828,Gondangdia,Cikini,-6.1859109,106.8325657,-6.1865,106.84
2021,3,Mikrotrans,JAK.10A,Gondangdia - Cikini via Salemba Raya,16781,Gondangdia,Cikini,-6.1859109,106.8325657,-6.1865,106.84
2021,3,Mikrotrans,JAK.10,Tanah Abang - Kota,51063,Tanah Abang,Kota,-6.184,106.8225,106.814904,-6.13679
2021,3,Mikrotrans,JAK.09,Roxy Mas - Karet,25584,Roxy Mas,Karet,-6.166694,106.8030367,106.820031,-6.212457
2021,3,Mikrotrans,JAK.08,Roxy - Benhil,29530,Roxy,Benhil,106.796746,-6.166294,-6.2146871,106.8154446
2021,3,Mikrotrans,JAK.07,Tanah Abang - Grogol via Tawakal,46342,Tanah Abang,Grogol,-6.184,106.8225,106.789705,-6.166824
2021,3,Mikrotrans,JAK.06,Kampung Rambutan - Pondok Gede,82814,Kampung Rambutan,Pondok Gede,106.882155,-6.309885,-6.2862899,106.9092597
2021,3,Mikrotrans,JAK.05,Semper - Rorotan,75218,Semper,Rorotan,-6.106,106.9,-6.1335,106.9045
2021,3,Mikrotrans,JAK.04,Grogol - Tubagus Angke,52690,Grogol,Tubagus Angke,106.789705,-6.166824,-6.1418133,106.8066589
2021,3,Mikrotrans,JAK.03,Lebak Bulus - Andara,36614,Lebak Bulus,Andara,106.774151,-6.289413,-6.314,106.823
2021,3,Mikrotrans,JAK.02,Kampung Melayu - Duren Sawit,52302,Kampung Melayu,Duren Sawit,106.866821,-6.224673,-6.2325,106.9
2021,3,Mikrotrans,JAK.01,Tanjung Priok - Plumpang,67629,Tanjung Priok,Plumpang,106.88214,-6.10959,106.8937,-6.12848
2021,3,BRT,9,Pinang Ranti - Pluit,756064,Pinang Ranti,Pluit,106.886338,-6.291075,106.790371,-6.115795
2021,3,BRT,8,Lebak Bulus - Harmoni,508851,Lebak Bulus,Harmoni,106.774151,-6.289413,106.81992,-6.162687
